"TimeGenerated [UTC]",Message,SeverityLevel,Properties,OperationId,ParentId,AppRoleName,AppRoleInstance,ClientType,ClientModel,ClientOS,ClientIP,ClientCity,ClientStateOrProvince,ClientCountryOrRegion,ClientBrowser,Runmodel,Realizations,Parameters,Observations
"1/23/2026, 2:50:05.657 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 2
Parameters: 41
Observations: 0",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/bash"",""user"":""jmsh""}",443d27f80f52d54c74e840fd1b045d61,ba941f0827204f7f,"unknown_service","st-lintgx0448.st.statoil.no",PC,Other,Linux,"0.0.0.0",Stavanger,Rogaland,Norway,Other,"ensemble_experiment",2,41,0
"1/23/2026, 2:51:44.244 PM","Experiment summary:
Runmodel: es_mda
Realizations: 100
Parameters: 157
Observations: 245",1,"{""code.file.path"":""/prog/res/komodo/2026.01.05-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.05-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/csh"",""user"":""jnv""}",e6035755e66dc48739a97208086b5127,1b4f670b30b11065,"unknown_service","st-lintgx0398.st.statoil.no",PC,Other,Linux,"0.0.0.0",Stavanger,Rogaland,Norway,Other,"es_mda",100,157,245
"1/23/2026, 2:52:12.080 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 2
Parameters: 41
Observations: 0",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/bash"",""user"":""jmsh""}",84c4a773555be3093290d85ece29d351,2d7f04858cc2862c,"unknown_service","st-lintgx0448.st.statoil.no",PC,Other,Linux,"0.0.0.0",Stavanger,Rogaland,Norway,Other,"ensemble_experiment",2,41,0
"1/23/2026, 2:55:37.031 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 2
Parameters: 41
Observations: 0",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/bash"",""user"":""jmsh""}",77d79637a2ae5322d0f2328cf24d2a7e,bc182fd109fe5de3,"unknown_service","st-lintgx0448.st.statoil.no",PC,Other,Linux,"0.0.0.0",Stavanger,Rogaland,Norway,Other,"ensemble_experiment",2,41,0
"1/23/2026, 2:54:49.128 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 16
Parameters: 29
Observations: 369",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/csh"",""user"":""lora""}",af4cab8bd99e9ec7e61457ed70196bbb,d191269446f9e255,"unknown_service","rio-lintgx0009.rio.statoil.no",PC,Other,Linux,"0.0.0.0","Rio De Janeiro","Rio De Janeiro",Brazil,Other,"ensemble_experiment",16,29,369
"1/23/2026, 9:34:04.952 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 100
Parameters: 147
Observations: 104",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/csh"",""user"":""mosha""}",ce778a7d224373802e5a2d096114ddb1,07b27da8ea0efa8d,"unknown_service","st-lintgx0069.st.statoil.no",PC,Other,Linux,"0.0.0.0",Stavanger,Rogaland,Norway,Other,"ensemble_experiment",100,147,104
"1/23/2026, 9:42:17.420 PM","Experiment summary:
Runmodel: es_mda
Realizations: 100
Parameters: 26
Observations: 660",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/csh"",""user"":""achic""}",521791d9df9d76d1f6a14831c7b1125d,7e38337bc47ade90,"unknown_service","rio-lintgx0006.rio.statoil.no",PC,Other,Linux,"0.0.0.0","Rio De Janeiro","Rio De Janeiro",Brazil,Other,"es_mda",100,26,660
"1/23/2026, 5:37:46.165 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 200
Parameters: 181
Observations: 130",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/csh"",""user"":""neac""}",c5dc2b6260319aacc0aa4c9ac7ca78d8,0124ec945d4f25d3,"unknown_service","st-lintgx0304.st.statoil.no",PC,Other,Linux,"0.0.0.0",Stavanger,Rogaland,Norway,Other,"ensemble_experiment",200,181,130
"1/23/2026, 5:48:39.775 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 12
Parameters: 29
Observations: 369",1,"{""code.file.path"":""/prog/res/komodo/2026.01.08-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.08-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/csh"",""user"":""lora""}",63eabf3dc2bd29b0c49bb3dfe76da1ae,039d906389bafecd,"unknown_service","rio-lintgx0009.rio.statoil.no",PC,Other,Linux,"0.0.0.0","Rio De Janeiro","Rio De Janeiro",Brazil,Other,"ensemble_experiment",12,29,369
"1/23/2026, 3:23:21.910 PM","Experiment summary:
Runmodel: ensemble_experiment
Realizations: 2
Parameters: 78
Observations: 0",1,"{""code.file.path"":""/prog/res/komodo/2026.01.07-py311-rhel8/root/lib64/python3.11/site-packages/ert/gui/summarypanel.py"",""code.function.name"":""log_summary"",""code.line.number"":""137"",""logger_name"":""ert.gui.summarypanel"",""komodo_version"":""2026.01.07-py311-rhel8"",""python_version"":""3.11.13"",""MACHINE_USER"":""False"",""shell_type"":""/bin/csh"",""user"":""cste""}",23fb6f57c17bc05e6a50161e50eb3bc8,ddef190935305cb2,"unknown_service","be-lintgx0124.be.statoil.no",PC,Other,Linux,"0.0.0.0",Stavanger,Rogaland,Norway,Other,"ensemble_experiment",2,78,0
